Keyword,Count,Percentage
"worker",9592,83.92
"pre-existing condition",1168,10.22
"pain",1165,10.19
"employer",1159,10.14
"injury",1149,10.05
"shoulder",1059,9.27
"work",1000,8.75
"benefits",889,7.78
"accident",842,7.37
"impairment",818,7.16
"psychotraumatic disability",611,5.35
"knee",592,5.18
"entitlement",504,4.41
"work-related injury",468,4.09
"earnings",393,3.44
"reconsideration",389,3.40
"neck",388,3.39
"return to work",329,2.88
"low",311,2.72
"labour market re-entry",307,2.69
"wrist",292,2.55
"rating",285,2.49
"suitable",283,2.48
"permanent impairment",272,2.38
"symptoms",264,2.31
"time limit",256,2.24
"psychological",240,2.10
"delay",226,1.98
"modified duties",226,1.98
"representative",220,1.92
"ankle",208,1.82
"severity",194,1.70
"rotator cuff",193,1.69
"access",183,1.60
"greater severity than a normal",178,1.56
"hip",174,1.52
"pre-existing conditions",173,1.51
"threshold test",171,1.50
"surgery",171,1.50
"duties",167,1.46
"elbow",167,1.46
"recurrence",164,1.43
"modified work",155,1.36
"information",147,1.29
"work-related injury disease",146,1.28
"noted",135,1.18
"evidence",133,1.16
"proposed resolution",132,1.15
"file",130,1.14
"cost relief",130,1.14
"chronic pain",130,1.14
"time extension",129,1.13
"redetermination",126,1.10
"entitlement to benefits",126,1.10
"significant deterioration",125,1.09
"extension",122,1.07
"hours",121,1.06
"low back pain",120,1.05
"anxiety",117,1.02
"workplace accident",113,0.99
"disc herniation",109,0.95
"concussion",109,0.95
"medical",107,0.94
"indicated that the worker",106,0.93
"loss",103,0.90
"liable to develop a disability",102,0.89
"exposure",102,0.89
"accident employer",98,0.86
"tear",94,0.82
"depression",93,0.81
"report",91,0.80
"bilateral",89,0.78
"request for a time extension",89,0.78
"offset",88,0.77
"rotator cuff tear",84,0.73
"deterioration",84,0.73
"foot",82,0.72
"employment",79,0.69
"find",78,0.68
"headaches",77,0.67
"reconsideration request",76,0.66
"osteoarthritis",76,0.66
"adjournment",76,0.66
"travailleur",75,0.66
"hand",75,0.66
"policy",75,0.66
"health care",74,0.65
"work-related accident",74,0.65
"ear",73,0.64
"compensable",72,0.63
"process",72,0.63
"worker representative",72,0.63
"recovery",72,0.63
"time",71,0.62
"shoulder injury",70,0.61
"exposures",69,0.60
"leg",69,0.60
"disablement",67,0.59
"disability benefits",67,0.59
"modified",66,0.58
"arm",66,0.58
"pre-accident disability",65,0.57
"organic",65,0.57
"low back injury",64,0.56
"find that the worker",64,0.56
"restrictions",61,0.53
"skills",60,0.52
"substantial work-related stressor",60,0.52
"degenerative changes",59,0.52
"thumb",59,0.52
"pre-injury earnings",59,0.52
"pandemic",59,0.52
"workers’ compensation",59,0.52
"enhanced",58,0.51
"carpal tunnel syndrome",57,0.50
"mental stress",57,0.50
"degrees",56,0.49
"job",55,0.48
"lumbar spine",55,0.48
"fibromyalgia",54,0.47
"treatment",54,0.47
"knee injury",53,0.46
"lung cancer",53,0.46
"access to the worker",53,0.46
"worker s representative",51,0.45
"noise",51,0.45
"disc",51,0.45
"released to the employer",51,0.45
"audiogram",49,0.43
"competitively unemployable",49,0.43
"refd",48,0.42
"workplace health and safety",48,0.42
"retroactive adjustment",47,0.41
"moderate",47,0.41
"smoking",47,0.41
"ongoing",47,0.41
"travailleuse",46,0.40
"degenerative",46,0.40
"six-month statutory time limit",46,0.40
"permanent disability",46,0.40
"minimum wage",46,0.40
"meniscal tear",45,0.39
"truck",45,0.39
"long-term average earnings",45,0.39
"cervical spine",44,0.38
"non-compensable conditions",44,0.38
"noise exposure",44,0.38
"entitled to full benefits",44,0.38
"entitlement for psychotraumatic disability",44,0.38
"relief",44,0.38
"reassessment",44,0.38
"degenerative disc disease",44,0.38
"statutory time-limit",44,0.38
"disability",43,0.38
"objection",43,0.38
"tendinosis",43,0.38
"cervical",43,0.38
"stated",43,0.38
"clarification",42,0.37
"initial entitlement",42,0.37
"compensable accident",42,0.37
"original",42,0.37
"pre-accident impairment",42,0.37
"traumatic",42,0.37
